display_name,slug,diet,type,occurrence_count,length_m,region_example,priority_reason
Tyrannosaurus,tyrannosaurus,carnivorous,large theropod,74,12.0,North Dakota,
Triceratops,triceratops,herbivorous,ceratopsian,125,9.0,Wyoming,
Velociraptor,velociraptor,carnivorous,small theropod,17,1.8,Omnogov,
Stegosaurus,stegosaurus,herbivorous,armored dinosaur,69,9.0,Wyoming,
Brachiosaurus,brachiosaurus,herbivorous,sauropod,16,30.0,Colorado,
Diplodocus,diplodocus,herbivorous,sauropod,57,26.0,Wyoming,
Allosaurus,allosaurus,carnivorous,large theropod,103,12.0,Wyoming,
Ankylosaurus,ankylosaurus,herbivorous,armored dinosaur,15,7.0,Wyoming,
Spinosaurus,spinosaurus,carnivorous,large theropod,20,18.0,Meknès-Tafilalet,
Iguanodon,iguanodon,herbivorous,ornithopod,111,10.0,England,
Parasaurolophus,parasaurolophus,herbivorous,ornithopod,16,11.0,New Mexico,
Apatosaurus,apatosaurus,herbivorous,sauropod,45,21.0,Wyoming,
Carnotaurus,carnotaurus,carnivorous,large theropod,1,7.6,Chubut,
Ceratosaurus,ceratosaurus,carnivorous,large theropod,15,6.0,Colorado,
Compsognathus,compsognathus,carnivorous,small theropod,3,0.65,Bayern,
Deinonychus,deinonychus,carnivorous,small theropod,38,3.0,Montana,
Edmontosaurus,edmontosaurus,herbivorous,ornithopod,66,13.0,Wyoming,
Gallimimus,gallimimus,omnivorous,large theropod,25,6.0,Omnogov,
Giganotosaurus,giganotosaurus,carnivorous,large theropod,3,12.5,Neuquén,
Kentrosaurus,kentrosaurus,herbivorous,armored dinosaur,27,5.0,Lindi,
Maiasaura,maiasaura,herbivorous,ornithopod,6,9.0,Montana,
Mamenchisaurus,mamenchisaurus,herbivorous,sauropod,23,22.0,Sichuan,
Microraptor,microraptor,carnivorous,small theropod,7,0.8,Liaoning,
Oviraptor,oviraptor,omnivorous,small theropod,2,2.0,Asht,
Pachycephalosaurus,pachycephalosaurus,herbivorous,ornithopod,30,8.0,Montana,
Plateosaurus,plateosaurus,herbivorous,sauropod,31,7.0,Baden-Württemberg,
Protoceratops,protoceratops,herbivorous,ceratopsian,33,1.8,Omnogov,
Psittacosaurus,psittacosaurus,herbivorous,ceratopsian,56,2.0,Liaoning,
Sauropelta,sauropelta,herbivorous,armored dinosaur,29,6.5,Montana,
Styracosaurus,styracosaurus,herbivorous,ceratopsian,10,5.5,Alberta,
Therizinosaurus,therizinosaurus,herbivorous,large theropod,2,10.0,Omnogov,
Troodon,troodon,carnivorous,small theropod,111,2.0,Alberta,
Utahraptor,utahraptor,carnivorous,large theropod,2,6.0,Utah,
Corythosaurus,corythosaurus,herbivorous,ornithopod,25,10.0,Alberta,
Dilophosaurus,dilophosaurus,carnivorous,large theropod,7,6.0,Arizona,
